dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
1,fronts_best_accuracy,complexity,MOEACKF,31,0.008823529412,0.007352941176,0.013970588235,0.010673624288548384,0.004394865377439993,0.0026396760079915008,wilcoxon,,,
1,fronts_best_accuracy,complexity,SNSGAII,31,0.02205882353,0.01323529412,0.0375,0.02879506641309678,0.021434882321752148,0.00044465964390123113,wilcoxon,0.00021214035080596664,0.22580645161290322,True
1,fronts_best_accuracy,error,MOEACKF,31,0.1394927536,0.1394927536,0.1413043478,0.13990182325806452,0.0016675641735594382,0.0007093864020449182,wilcoxon,,,
1,fronts_best_accuracy,error,SNSGAII,31,0.1322463768,0.1231884058,0.1394927536,0.1313113604387097,0.009987027816728809,0.40264879720813224,wilcoxon,0.0003730175198116421,0.7096774193548387,True
1,fronts_best_accuracy,front_size,MOEACKF,31,6.0,5.0,6.0,5.741935483870968,0.964978132238718,0.011931088832612739,wilcoxon,,,
1,fronts_best_accuracy,front_size,SNSGAII,31,7.0,5.0,9.0,7.354838709677419,3.0501189823434123,0.18487989530981097,wilcoxon,0.014501004052597502,0.3225806451612903,True
