dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
2,fronts_best_accuracy,complexity,MOEACKF,31,0.01904761905,0.0083333333335,0.03630952381,0.07519201228770969,0.13864187675152698,1.3011837780438077e-08,wilcoxon,,,
2,fronts_best_accuracy,complexity,SNSGAII,31,0.003571428571,0.002380952381,0.003571428571,0.003225806451419355,0.0007649707893257677,1.6975318876619973e-05,wilcoxon,1.1700497190858905e-06,1.0,True
2,fronts_best_accuracy,error,MOEACKF,31,0.08101851852,0.07754629629500001,0.08101851852,0.07862903225741937,0.0038495526264329147,2.3043198663117718e-05,wilcoxon,,,
2,fronts_best_accuracy,error,SNSGAII,31,0.0787037037,0.0787037037,0.08101851852,0.07922640382225807,0.001659543831716109,4.086778245966429e-05,wilcoxon,0.5344642865962902,0.5645161290322581,False
2,fronts_best_accuracy,front_size,MOEACKF,31,7.0,6.0,7.0,6.612903225806452,1.174093106893961,0.051985213610548114,wilcoxon,,,
2,fronts_best_accuracy,front_size,SNSGAII,31,3.0,3.0,4.0,3.4193548387096775,0.672021505032247,0.00011608181199304636,wilcoxon,1.4215801701839266e-06,0.9838709677419355,True
