dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
4,fronts_best_accuracy,complexity,MOEACKF,31,0.04285714286,0.020833333335000002,0.08472222222,0.07924987199012903,0.09533792130944031,2.584415519215675e-06,wilcoxon,,,
4,fronts_best_accuracy,complexity,SNSGAII,31,0.01587301587,0.0077380952385000005,0.026984126985000002,0.01876600102419355,0.014135450746422957,0.012557382255744409,wilcoxon,0.0002673451578777141,0.7419354838709677,True
4,fronts_best_accuracy,error,MOEACKF,31,0.1796407186,0.1676646707,0.1976047904,0.18756036315483873,0.032738927817409495,0.0002954511909005722,wilcoxon,,,
4,fronts_best_accuracy,error,SNSGAII,31,0.2395209581,0.2125748503,0.2634730539,0.24029360633548386,0.041651342928657034,0.16852384780730306,wilcoxon,4.7657805964291537e-05,0.1935483870967742,True
4,fronts_best_accuracy,front_size,MOEACKF,31,12.0,9.0,13.0,11.258064516129032,3.275848408534639,0.7446509287505731,wilcoxon,,,
4,fronts_best_accuracy,front_size,SNSGAII,31,8.0,7.0,10.5,8.709677419354838,3.4369904314394666,0.823265552008118,wilcoxon,0.016558222473344927,0.6451612903225806,True
