dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
1,hv_main,hv,MOEACKF,31,0.87207,0.870446,0.8720975,0.8717114838709678,0.001506028947729051,0.001085755880922079,wilcoxon,,,
1,hv_main,hv,SNSGAII,31,0.876667,0.870205,0.8855545,0.8781209677419355,0.00902432830550791,0.4135357439517975,wilcoxon,0.0021575288847088814,0.3225806451612903,True
2,hv_main,hv,MOEACKF,31,0.925627,0.9255249999999999,0.9284545,0.927567258064516,0.003564767060811899,8.943778811953962e-05,wilcoxon,,,
2,hv_main,hv,SNSGAII,31,0.927768,0.925684,0.927799,0.9272977741935483,0.0015027269370420594,7.354799890890718e-05,wilcoxon,0.34684528410434723,0.25806451612903225,False
3,hv_main,hv,MOEACKF,31,0.752015,0.7452105,0.7559625,0.7510768064516129,0.006047587631551147,0.005375797860324383,wilcoxon,,,
3,hv_main,hv,SNSGAII,31,0.764301,0.7546955,0.7754195,0.7644783870967741,0.016020525548344575,0.7761223316192627,wilcoxon,2.8248876333236694e-05,0.22580645161290322,True
4,hv_main,hv,MOEACKF,31,0.827372,0.8141275,0.843208,0.8224343548387096,0.030238137682456995,0.0019538707565516233,wilcoxon,,,
4,hv_main,hv,SNSGAII,31,0.781196,0.760051,0.8058735,0.7807528387096774,0.03742157363794026,0.14309053122997284,wilcoxon,8.656829595565796e-05,0.7096774193548387,True
