family,dataset,angle,metric,group,n,test,p_value,p_holm,a12,significant_alpha_0.05,significant_holm,source_file
plataforma|ds4|platform_snsgaii,4,platform_snsgaii,accuracy,ANN-MATLAB,31,mann-whitney,1.3178280470427447e-11,3.9534841411282344e-11,0.0,True,True,comparison/platform/summary.csv
plataforma|ds4|platform_snsgaii,4,platform_snsgaii,complexity,ANN-MATLAB,31,mann-whitney,5.735425411492997e-07,5.735425411492997e-07,0.1321540062434963,True,True,comparison/platform/summary.csv
plataforma|ds4|platform_snsgaii,4,platform_snsgaii,hv,ANN-MATLAB,31,mann-whitney,1.4018463184347286e-11,3.9534841411282344e-11,0.0,True,True,comparison/platform/summary.csv
principal_snn|ds1,1,convergence_speed,fe95,SNSGAII,31,wilcoxon,9.313225746154783e-10,4.656612873077392e-09,0.0,True,True,comparison/convergence/convergence_speed_summary.csv
principal_snn|ds1,1,fronts_best_accuracy,complexity,SNSGAII,31,wilcoxon,7.781665772199631e-05,0.00031126663088798523,0.2258064516129032,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds1,1,fronts_best_accuracy,error,SNSGAII,31,wilcoxon,0.0003730175198116,0.0011190525594348,0.7096774193548387,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds1,1,fronts_best_accuracy,front_size,SNSGAII,31,wilcoxon,0.0145010040525975,0.0145010040525975,0.3225806451612903,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds1,1,hv_main,hv,SNSGAII,31,wilcoxon,0.0021575288847088,0.0043150577694176,0.3225806451612903,True,True,comparison/hv/summary.csv
principal_snn|ds2,2,convergence_speed,fe95,SNSGAII,31,wilcoxon,0.0004750900362102,0.0014252701086306,0.6935483870967742,True,True,comparison/convergence/convergence_speed_summary.csv
principal_snn|ds2,2,fronts_best_accuracy,complexity,SNSGAII,31,wilcoxon,9.313225746154783e-10,4.656612873077392e-09,1.0,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds2,2,fronts_best_accuracy,error,SNSGAII,31,wilcoxon,0.5344642865962902,0.6936905682086943,0.5645161290322581,False,False,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds2,2,fronts_best_accuracy,front_size,SNSGAII,31,wilcoxon,1.4215801701839266e-06,5.686320680735706e-06,0.9838709677419356,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds2,2,hv_main,hv,SNSGAII,31,wilcoxon,0.3468452841043472,0.6936905682086943,0.2580645161290322,False,False,comparison/hv/summary.csv
principal_snn|ds3,3,convergence_speed,fe95,SNSGAII,31,wilcoxon,9.313225746154783e-10,4.656612873077392e-09,0.0,True,True,comparison/convergence/convergence_speed_summary.csv
principal_snn|ds3,3,fronts_best_accuracy,complexity,SNSGAII,31,wilcoxon,0.0091476095840334,0.0091476095840334,0.2258064516129032,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds3,3,fronts_best_accuracy,error,SNSGAII,31,wilcoxon,8.895754625312632e-05,0.00017791509250625264,0.7903225806451613,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds3,3,fronts_best_accuracy,front_size,SNSGAII,31,wilcoxon,1.852340238812892e-05,7.409360955251568e-05,0.1612903225806451,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds3,3,hv_main,hv,SNSGAII,31,wilcoxon,2.824887633323669e-05,8.474662899971007e-05,0.2258064516129032,True,True,comparison/hv/summary.csv
principal_snn|ds4,4,convergence_speed,fe95,SNSGAII,31,wilcoxon,9.162351489067078e-06,4.581175744533539e-05,0.9032258064516128,True,True,comparison/convergence/convergence_speed_summary.csv
principal_snn|ds4,4,fronts_best_accuracy,complexity,SNSGAII,31,wilcoxon,0.0001067742705345,0.0002597048878669739,0.7419354838709677,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds4,4,fronts_best_accuracy,error,SNSGAII,31,wilcoxon,4.7657805964291537e-05,0.00019063122385716615,0.1935483870967742,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds4,4,fronts_best_accuracy,front_size,SNSGAII,31,wilcoxon,0.0165582224733449,0.0165582224733449,0.6451612903225806,True,True,comparison/fronts/best_accuracy_summary.csv
principal_snn|ds4,4,hv_main,hv,SNSGAII,31,wilcoxon,8.656829595565796e-05,0.0002597048878669739,0.7096774193548387,True,True,comparison/hv/summary.csv
tiempo|ds1,1,time,time_s,SNSGAII,15,wilcoxon,0.00152587890625,0.00152587890625,0.8666666666666667,True,True,comparison/time/summary.csv
tiempo|ds2,2,time,time_s,SNSGAII,15,wilcoxon,0.0008544921875,0.0008544921875,0.8666666666666667,True,True,comparison/time/summary.csv
tiempo|ds3,3,time,time_s,SNSGAII,15,wilcoxon,0.00042724609375,0.00042724609375,0.9333333333333332,True,True,comparison/time/summary.csv
tiempo|ds4,4,time,time_s,SNSGAII,15,wilcoxon,6.103515625e-05,6.103515625e-05,1.0,True,True,comparison/time/summary.csv
,1,convergence_speed_sensitivity,fe90,SNSGAII,31,wilcoxon,1.862645149230957e-09,,0.032258064516129,True,True,comparison/convergence/convergence_speed_summary.csv
,2,convergence_speed_sensitivity,fe90,SNSGAII,31,wilcoxon,1.0,,0.5,False,False,comparison/convergence/convergence_speed_summary.csv
,3,convergence_speed_sensitivity,fe90,SNSGAII,31,wilcoxon,9.313225746154783e-10,,0.0,True,True,comparison/convergence/convergence_speed_summary.csv
,4,convergence_speed_sensitivity,fe90,SNSGAII,31,wilcoxon,0.0035971812903881,,0.7741935483870968,True,True,comparison/convergence/convergence_speed_summary.csv
