dataset,angle,metric,group,n,median,iqr_low,iqr_high,mean,std,shapiro_p,test,p_value,a12,significant_alpha_0.05
1,time,time_s,MOEACKF,15,285.5552,263.7128,288.2233,277.37004,15.402274990904061,0.02307581529021263,wilcoxon,,,
1,time,time_s,SNSGAII,15,259.557,258.41315,260.52115000000003,259.4892,2.504279878527958,0.3728983998298645,wilcoxon,0.00152587890625,0.8666666666666667,True
2,time,time_s,MOEACKF,15,230.5385,223.96575,235.20655,232.98282666666668,20.288451038265467,0.003214592346921563,wilcoxon,,,
2,time,time_s,SNSGAII,15,216.7385,215.9756,217.03065,216.21638666666666,1.670862907031942,0.009750313125550747,wilcoxon,0.0008544921875,0.8666666666666667,True
3,time,time_s,MOEACKF,15,936.5808,895.67515,956.0685000000001,928.6555066666667,37.13013973011426,0.41572999954223633,wilcoxon,,,
3,time,time_s,SNSGAII,15,871.2661,858.8802000000001,883.03765,867.7058533333333,20.69819551002546,0.0911838635802269,wilcoxon,0.00042724609375,0.9333333333333333,True
4,time,time_s,MOEACKF,15,715.0597,525.9377,865.23645,747.42264,259.5051209930543,0.07145687937736511,wilcoxon,,,
4,time,time_s,SNSGAII,15,295.4588,293.97305,298.16515,295.67729333333335,4.080456355687024,0.585457980632782,wilcoxon,6.103515625e-05,1.0,True
