algo,n_runs,mean_accuracy,pct_any_out_disc,pct_out0_disc,pct_out1_disc,mean_pct_useless_conn
MOEACKF,124,0.830120,35.4839,15.3226,20.1613,49.4650
SNSGAII,124,0.822705,26.6129,26.6129,1.6129,32.6504
